dita maps manager	372 *
installer in unattended	2
unattended mode installs	2
overwrite existing files	2
change various options	2
installer command-line parameters	2
installer command-line reference	2
reference the installer	2
variety of command-line	2
command-line parameters q	2
parameters q instructs	2
instructs the installer	2
install default settings	2
varfile option overwrite	2
overwrite in unattended	2
folder the overwrite	2
overwrite parameter added	2
q parameter forces	2
forces the overwriting	2
files console displays	2
displays a console	2
command for example	2
q overwrite console	2
overwrite console vautoversionchecking=false	2
console vautoversionchecking=false command-line	2
vautoversionchecking=false command-line variables	2
variables for preconfiguring	2
details for organizations	2
organizations that use	2
manage user licenses	2
licenses the installer	2
installer also supports	2
server details autoversionchecking	2
license server backup.license.servlet.user.name	2
license server backup.license.servlet.password	2
stored encrypted backup.license.servlet.password.encrypted	2
license server license.servlet.user.name	2
license server license.servlet.password	2
stored encrypted license.servlet.password.encrypted	2
vlicense.servlet.url=http://main.licenseserver:8080/oxygenlicenseservlet/license-servlet vlicense.servlet.user.name=user vlicense.servlet.password=mypass	2
vlicense.servlet.user.name=user vlicense.servlet.password=mypass vbackup.license.servlet.url=http://backup.licenseserver:8080/oxygenlicenseservlet/license-servlet	2
vlicense.servlet.password=mypass vbackup.license.servlet.url=http://backup.licenseserver:8080/oxygenlicenseservlet/license-servlet vbackup.license.servlet.user.name=user	2
vbackup.license.servlet.url=http://backup.licenseserver:8080/oxygenlicenseservlet/license-servlet vbackup.license.servlet.user.name=user vbackup.license.servlet.password=mypass	2
response.varfile the installer	2
file called response.varfile	2
response.varfile which records	2
records the choices	2
interactively the generated	2
generated response file	2
use the response.varfile	2
format see install4j	2
command line autoversionchecking	2
checking for application-related	2
events possible values	2
install add-ons installaipositronaddons	2
positron add-ons allowaipositronservice	2
prohibit the ai	2
add-on from connecting	2
styles to easily	2
insert new topic	2
new topic references	2
like this goog.events.listen(workspace	2
goog.events.listen(workspace sync.api.workspace.eventtype.before_editor_loaded function(e	2
custom framework configuration	2 *
xml editor/author find	2
table and change	2
change the alternate	2
user role plugin	2 *
userrole loading option	2
browser descriptor api	2
descriptor api file	2
upload dialog boxes	2
sync.api.urlchooser.getfilebrowserdescriptor add svg	2
image type descriptor.types.image.filters.push	2
type descriptor.types.image.filters.push label	2
descriptor.types.image.filters.push label svg	2
label svg files	2
svg files regex	2
files regex svg	2
configuration properties property	2
properties property type	2
property type description	2
file browser drop-down	2
browser drop-down menu	2
considered the default	2
file types var	2
types var descriptor	2
disable all files	2
bundled with includes	2
embed well-formed html	2
well-formed html content	2
iframe width="420 height="315	2
width="420 height="315 src="https://www.youtube.com/embed/qeprkqxhtx	2
height="315 src="https://www.youtube.com/embed/qeprkqxhtx frameborder="0	2
src="https://www.youtube.com/embed/qeprkqxhtx frameborder="0 allowfullscreen="true	2
frameborder="0 allowfullscreen="true iframe	2
output would look	2
order and export	2 *
contains the application	2
dita docbook etc	2
content is obtained	2
obtain the pdf	2
problem is caused	2
open-source apache fop	2
uses the dita	2
two xml elements	2
render the image	2
control the image	2
add-ons to help	2
front-page/front-page-title class topic/title	2
topic/title"]:not([class bookmap/booktitle class	2
front-page/front-page-title class bookmap/booktitle	2
class front-page/front-page class	2
front-page/front-page class bookmap/booktitle	2
class bookmap/mainbooktitle oxy-pdf-meta-title	2
connection by default	2
default contains built-in	2
contains built-in data	2
built-in data source	2
install on macos	2
download the macos	2
macos installation package	2
folder already exists	2
attempt to merge	2
move the old	2
installing the application	2
replace the old	2
volumes/oxygen xml editor	2
volumes/oxygen xml author	2
volumes/oxygen xml developer	2
volumes/oxygen json editor	2
preferences performance preferences	2
performance preferences special	2
preferences special character	2
special character preferences	2 *
character preferences lets	2
newly created files	2
option with files	2
files already opened	2
try to save	2
displayed to avoid	2
overwriting the initial	2
handle bidirectional text	2
characters the support	2
means see bidirectional	2
document default setting	2
special characters whenever	2
document for details	2
disable special characters	2
support for documents	2
larger than characters	2
characters enabling bidirectional	2
enabling bidirectional text	2
bidirectional text editing	2
text editing support	2
support can affect	2
performance on large	2
selected bidirectional editing	2
editing is disabled	2
disabled for files	2
special characters option	2
limit is 300	2
mb or 800	2
option selected regardless	2
editing large files	2
warning when loading	2
loading large documents	2 *
characters line wrap	2
document with long	2
selected will warn	2
schema properties preferences	2
properties preferences lets	2
display for json	2
configure the json	2
properties this preferences	2
show additional properties	2
selected the properties	2
table are shown	2
mode this option	2
default properties table	2
properties table show	2
table show use	2
select the properties	2
column to select	2
dependencies view ant	2
components properties targets	2
level nodes schema	2
nodes schema level	2
schema level nodes	2
open toolkit section	2
validating and publishing	2
dita-ot by default	2
directory is frameworks/dita	2
default transformation scenarios	2
certain dita open	2
type associations page	2
perform the validation	2
enable dita 2.0	2
dita 2.0 editing	2
2.0 editing support	2
editing support experimental	2
dita 2.0 standard	2
validation scenario json	2
validation scenario(s action	2
action in one	2
explorer view step	2
new button step	2
result a validation	2
displayed validation scenario	2
engines for validating	2
json documents default	2
built-in json validator	2
use the version	2
json schema draft-04	2 *
priority schema displays	2
schema specify schema	2
units click ok	2
result the newly	2
header column example	2
closed open open	2
closed closed closed	2
rowheader="firstcol colsep="1 rowsep="1	2
entry>closed</entry entry>open</entry entry>open</entry	2
entry>closed</entry entry>closed</entry entry>closed</entry	2
customize the validation	2
complex ant build	2
create or configure	2
ant validation engine	2
write a dita	2
scheme maps use	2
define a collection	2
filter out reject	2
values must reference	2
reference the subject	2
values and use	2
map map subject	2
attribute is bound	2
accept multiple values	2
attributedef name="audience subjectdef	2
name="audience subjectdef keyref="audiencekey	2
possible attribute values	2
specific element name	2
outputclass attribute values	2
subject scheme file	2
customize a hierarchy	2
neuro-surgeon and plastic-surgeon	2
val that ditaval	2
stage to filter	2
subjectdef enumerationdef subjectscheme	2
page the profiling	2
mode the proposals	2
information dita 1.3	2
picker form control	2
oxy_datepicker form control	2
format this property	2
editor includes support	2
editing image maps	2 *
edit image maps	2
apply image map	2 *
visual editor add	2
link all three	2
types will open	2
image the target	2
select a new	2
one of three	2
new circle use	2
draw a circle	2
new rectangle use	2
draw a rectangular	2
new free form	2
form shape use	2
draw a free	2
image after selecting	2
selecting this button	2
button left-click anywhere	2
image to place	2
place the first	2
next desired point	2
point and left-click	2
left-click to place	2
place the next	2
complete the shape	2
shape delete use	2
selected shape undo	2
shape undo use	2
undone show/hide numbers	2
show/hide numbers use	2
toggle between showing	2
showing or hiding	2
hiding the numbers	2
shapes bring shape	2
shape to front	2
top layer bring	2
layer bring shape	2
bring shape forward	2
shape forward use	2
shape forward one	2
forward one layer	2
send shape backward	2
shape backward use	2
shape back one	2
back one layer	2
shape to back	2
button to zoom	2
image pane image	2
pane image pane	2
pane this main	2
work with shapes	2
shapes to add	2
hyperlinks to multiple	2
image the editing	2
image pane include	2
controls and keyboard	2
keyboard shortcuts use	2
select and move	2
shape is selected	2
selected shape changes	2
keyboard in addition	2
further or alt	2
alt to move	2
move it 1	2
time to zoom	2
use the numpad	2
numpad or numpad	2
numpad keys respectively	2
keys respectively use	2
respectively use ctrl	2
use ctrl numpad	2
ctrl numpad 0	2 *
0 to reset	2
reset the zoom	2
use ctrl z	2
z to undo	2
undo an action	2
action or ctrl	2
y to redo	2
information dita imagemap	2
imagemap element specifications	2
displays the structure	2
editing by default	2
attributes without quotes	2
configuring the properties	2
various configuration options	2
default track changes	2
track changes review	2
changes review author	2
review author name	2
author name use	2
tool menus compare	2
toolmenus the menus	2
tool contain some	2
toolbar as well	2
menus the menu	2
actions include file	2
include file menu	2
panel source open	2
panel source save	2
destination to save	2
panel target save	2
three-way comparison base	2
comparison base open	2
generated report look	2
report look like	2
directory comparison topic	2
save the results	2
includes the special	2
change tracking marks	2
application edit menu	2
edit menu cut	2
cut the selection	2
clipboard copy copy	2
copy the selection	2
clipboard paste paste	2
paste paste content	2
undo undo changes	2
redo redo changes	2
editor panel find	2
files differencing copy	2
right copy change	2
options menu help	2
menu help menu	2
directory and copy	2
open the catalog.xml	2
uncomment this line	2
line uri name="cfg:fo/xsl/custom.xsl	2
uri name="cfg:fo/xsl/custom.xsl uri="fo/xsl/custom.xsl	2 *
looks like this:<uri	2
like this:<uri name="cfg:fo/xsl/custom.xsl	2
this:<uri name="cfg:fo/xsl/custom.xsl uri="fo/xsl/custom.xsl	2
name="cfg:fo/xsl/custom.xsl uri="fo/xsl/custom.xsl rename	2
rename the file	2
create the template	2
template from plugins\org.dita.pdf2\xsl\fo\front-matter.xsl	2
title fo:block xsl:use-attribute-sets="__frontmatter__title	2
fo:block xsl:use-attribute-sets="__frontmatter__title xsl:choose	2
xsl:use-attribute-sets="__frontmatter__title xsl:choose xsl:when	2
1 xsl:apply-templates select="$map//*[contains	2
select="$map//*[contains class bookmap/mainbooktitle	2
class bookmap/mainbooktitle 1	2
xsl:otherwise xsl:value-of select="/descendant::*[contains	2
xsl:value-of select="/descendant::*[contains class	2
select="/descendant::*[contains class topic/topic	2
class topic/topic 1]/*[contains(@class	2
subtitle xsl:apply-templates select="$map//*[contains	2
select="$map//*[contains class bookmap/booktitlealt	2
class bookmap/booktitlealt fo:block	2
bookmap/booktitlealt fo:block xsl:use-attribute-sets="__frontmatter__owner	2
fo:block xsl:use-attribute-sets="__frontmatter__owner xsl:apply-templates	2
xsl:apply-templates select="$map//*[contains(@class bookmap/bookmeta	2
select="$map//*[contains(@class bookmap/bookmeta fo:block	2
examples see dita-ot	2
vmoptions configuration file	2
topic already exists	2
select copy switch	2
original dita map	2
menu actions paste	2
actions paste paste	2
whenever multiple references	2
topic are detected	2
manager an indicator	2
indicator will appear	2
includes navigation arrows	2
lines the format	2
menu and toolbar	2
organization administration area	2
disk usage table	2
project git repo	2
git repo deliverables	2
matches any element	2 *
e type selector	2
e an element	2
e e f	2
2 matches element	2
element of type	2
human language c	2
c the document	2
language is determined	2
f element immediately	2
element immediately preceded	2
sibling element e	2
level 3 matches	2
f element preceded	2
value css level	2
value is exactly	2
equal to warning	2
attribute selector containing	2
space-separated values one	2
element whose lang	2
left with en	2
relational pseudo-class css	2
focus pseudo-class css	2
equal to myid	2
attribute value begins	2
value begins exactly	2
attribute value ends	2
value ends exactly	2
attribute value contains	2
contains the substring	2
document in html	2
element last child	2
element first sibling	2
element last sibling	2
element only child	2
element only sibling	2
namespace selector css	2
ns the namespace	2
subject selector css	2
xml editor/author feedback	2
editor/author feedback comments	2
manager view view	2
view view comments	2
comments in oxygen	2
oxygen integrate feedback	2
feedback connector add-on	2
sharing project options	2
project is opened	2
html content form	2
content form control	2
graphical element shaped	2
box the shape	2
box is determined	2
height is computed	2
form control p:before	2
control p:before content	2
change the html	2
proxy to connect	2
external git server	2
use a text	2
editor to open	2
add the proxy	2
hostname or ip	2
container to apply	2
apply the changes:sudo	2
changes:sudo docker-compose restart	2
scenarios import global	2
import global transformation	2
transformation scenarios export	2
scenarios export global	2
import global validation	2
validation scenarios export	2
import and export	2
import transformation scenariosimport	2
transformation scenariosimport global	2
scenariosimport global transformation	2
project file framework	2
file framework options	2
framework options file	2
file or exported	2
exported scenarios file	2
scenarios file export	2
file export global	2
import validation scenariosimport	2
validation scenariosimport global	2
scenariosimport global validation	2
editing modeselecting content	2
mode editingselecting content	2
author mode supports	2
shift arrow keys	2 *
compact tag layout	2 *
invisible end tag	2
displayed new document	2
document from scratch	2
scratch by choosing	2
selecting file new	2
templates and choosing	2
choosing a template	2
templates or framework	2
framework templates folders	2
common document type	2
find a lot	2
templates for docbook	2
documents and dita	2
document you choose	2
xml source file	2
author mode views	2 *
back and forth	2
displays all content	2
use author mode	2
mode is similar	2
xml document type	2
model view window	2
show view model	2
xml quick fixes	2 *
fixes that help	2
editing the structure	2
window in text	2
levels of tag	2
particular document types	2
paste or drag	2
chunk of xml	2
validates the document	2
document is valid	2
selecting the validate	2
select show message	2
automatic as-you-type spell	2
as-you-type spell checking	2
feature as well	2
spell checking action	2
kind of output	2
select the apply	2
configuring the server	2
server to use	2
expressions in css	2
write xpath expressions	2
extract the content	2
dita class attribute	2
select the first	2
art of bike	2
topicmeta div class	2
obtain the desired	2
display the document	2
warning when trying	2
use to customize	2
customizing content completion	2
type associations select	2
select your document	2
upload your framework	2
author to configure	2
assistant see configuring	2
proposals for elements	2
attributes to configure	2
customizing the rendering	2
customizing the elements	2
keep the document	2
ways to choose	2
database for oxygen	2
search service database	2
service database setup	2
database setup supported	2
setup supported databases	2
postgresql 11 postgresql	2
11 postgresql 12	2
service to connect	2
feedback_db_user:create user feedback_db_user	2
feedback_db_user with password	2
password';for more details	2
encoding='utf8 lc_collate='c lc_ctype='c	2
lc_collate='c lc_ctype='c template='template0';the	2
lc_ctype='c template='template0';the database	2
grant all privileges	2
privileges on database	2
feedback_db_user;for more details	2
details see configure	2
configure oxygen text	2
oxygen_feedback_install_dir/docker-compose.yml file configure	2
running the postgresql	2
line to publish	2
dita startup script	2
located in bin	2
optional build parameters	2
directory by default	2
common dita-ot transformation	2
working copy check	2
copy an apache	2
apache subversion working	2
structure that contains	2
information as well	2
box or use	2
choose a revision	2
typing the local	2
automatically be created.by	2
empty if files	2
format the svn	2
choose between svn	2
1.8 or svn	2
files and subdirectories	2
choose the recursive	2
view svn clientviewscompare	2
actions to scale	2
scale the images	2
size or scale	2
scale them down	2
view's available area	2
area the supported	2
jpeg png bmp	2
manage and organize	2
perform batch operations	2
transformations over multiple	2
settings and transformation/validation	2
new project select	2
project select new	2
template directory structure	2
project file name	2 *
templates by default	2
default the editor	2
project files xpr	2
framework extension scripts	2
wildcards each filter	2
matches all dita	2
files from project_dir]/dir1/dir2	2
subdirectories of dir2	2
files with names	2
new sample xml	2
box that helps	2
new folder opens	2
folder and adds	2
project the project	2
logical folder creates	2
creates a logical	2
structure the icon	2
folder on macos	2
new logical folders	2
folders from web	2
replicates the structure	2
remote folder accessible	2
accessible over sftp/webdav	2
structure of logical	2
folders the newly	2
created logical folders	2
logical folders contain	2
contain the file	2
folder it points	2
points to add	2
add folder adds	2
folder whose name	2
name and content	2
mirror a real	2
folder that exists	2
system the icon	2
action is different	2
different on macos	2
macos add files	2
files adds links	2
links to files	2
file system add	2
system add edited	2
edited file adds	2
refresh f5 action	2
find it useful	2
create linked folders	2
shortcuts by dragging	2
windows explorer macos	2
explorer macos finder	2
folders are displayed	2
view are marked	2
selecting new folder	2
new folder advanced	2
use the advanced	2
system but cannot	2
cannot appear twice	2
clicking on task	2
lists the history	2
task e.g changes	2
displays all messages	2
open latest version	2 *
open the current	2
latest version opens	2
opens a comparison	2
opens the version	2
add message button	2
panel are attached	2
files to annotate	2
annotate individual files	2
individual files use	2
adding video audio	2
audio and embedded	2
embedded html resources	2
dita topics ditatopicsadd	2
references to media	2
topics the media	2
paste them supported	2
media types media	2
types media description	2
media description type	2
description type supported	2
type supported size	2
supported size properties	2 *
size properties mp3	2
properties mp3 moving	2
mp3 moving picture	2
experts group layer-3	2
group layer-3 audio	2
layer-3 audio audio	2
audio width wav	2
width wav windows	2
wav windows wave	2
windows wave audio	2
wave audio width	2
audio width pcm	2
width pcm pulse	2
pcm pulse code	2
pulse code modulation	2 *
code modulation audio	2
modulation audio width	2
audio width m4a	2
width m4a moving	2
m4a moving picture	2
group layer-4 audio	2
layer-4 audio audio	2
audio width aif	2
width aif audio	2
aif audio interchange	2
audio interchange format	2 *
interchange format audio	2
format audio width	2
audio width mp4	2
width mp4 moving	2
mp4 moving picture	2
group layer-4 video	2
layer-4 video video	2
video video width	2
width height m4v	2
height m4v itunes	2
m4v itunes video	2
itunes video file	2 *
video file video	2
file video width	2
width height avi	2
height avi audio	2
avi audio video	2
audio video interleaved	2 *
video interleaved video	2
interleaved video width	2
width height embedded	2
height embedded video	2
vidyard embedded iframe	2
embedded iframe code	2 *
iframe code iframe	2
code iframe width	2
iframe width height	2
width height adding	2
adding a media	2
resource to insert	2
insert a media	2
media resource select	2
media resource action	2
dialog box appears.you	2
insert the insert	2
history drop-down key	2
drop-down key use	2
option to insert	2
element all keys	2
box are gathered	2
selected root map.if	2
map.if your defined	2
trying to gather	2
wrong root map	2
box or change	2
stage the object	2
configure the width	2
specifying a value	2
inserts a width	2
result in author	2
trying to play	2
videos in author	2
install the libavformat57	2
libavformat57 library result	2
result in output	2 *
properly and played	2
way of inserting	2
copy the embed	2
parameter will automatically	2
play in full	2
converted to xhtml	2
support embedded media	2
loader the main	2
main class loader	2
separate class loader	2
write your code	2
content in multiple	2
two css properties	2
define a page	2
entire page width	2
customize the error	2
xerces or saxon	2
validation engines display	2
namespace the value	2
previous/next arrows navigation	2
arrows navigation links	2
navigation links previous	2
links previous next	2
previous next arrows	2
links the navigation	2
links are controlled	2
parent topic reference	2
use the webhelp.default.collection.type.sequence	2
value to yes	2
yes to generate	2
hide all navigation	2
authentication oauth authentication	2
administration interface login	2
interface login page	2
users can log	2
id is automatically	2
organization that integrated	2
integrated the feedback	2
address and password	2
organization's feedback platform	2
properties in dita	2
working with tables	2
specific rows columns	2
columns or cells	2
cells to open	2
multiple rows column	2
rows column tab	2
multiple columns cell	2
columns cell tab	2
cells the preview	2
option the options	2
alignment dita-use-conref-target normally	2
property row type	2
row vertical alignment	2
cell dita-use-conref-target normally	2
property column separator	2
property row separator	2
side frames dita-use-conref-target	2
frames dita-use-conref-target normally	2
purchased a license	2
able to produce	2
produce both pdf	2
install your oxygen	2
engine license key	2
use within oxygen	2
password or configure	2
interface this opens	2
change your avatar	2 *
current avatar image	2
finalize your change	2
kb to remove	2
avatar image choose	2
image choose remove	2
finalize your change.when	2
change.when loading large	2
loading large avatar	2
large avatar images	2
password to change	2
choose a new	2
delete to confirm	2
automatic renewal option	2
site owner deletes	2
deletes their account	2
recover the account	2
versions and comments	2
includes various options	2
use this subtab	2
configure notification settings	2
subtab to create	2
added a comment	2
approves a comment	2
deletes a comment	2
rejects a comment	2
resolves a comment	2
adds a version	2
edits a version	2
deletes a version	2
report if selected	2
selected default users	2
admin will receive	2
contains a report	2
installing a dita-ot	2
plugins comes bundled	2
install additional plugins	2 *
found from various	2
example oxygen's public	2
oxygen's public github	2
github repository includes	2
repository includes some	2
includes some dita-ot	2
some dita-ot plugins	2
plugin to install	2
locate the dita	2
write access permissions	2
application is installed	2
copy the additional	2
drop-down menu apply	2
new dita-ot transformation	2
detects that transformation	2
transformation type declaration	2
transformation scenario's parameters	2
scenario's parameters tab	2
add-on an oxygen	2
installed to integrate	2
integrate oxygen content	2
fusion into oxygen	2
editor/author and integrate	2
proposed changes content	2
changes content fusion	2
server this solution	2
server and control	2
restarting content fusion	2 *
fusion enterprise run	2
command-line interface:sudo bash	2
interface:sudo bash fusion/admin/stop-content-fusion.sh	2
checker or autocorrect	2
output tab xslt	2
tab xslt transformations	2
xslt transformations xslt	2
transformations xslt transformation	2
input xslt contains	2
xslt contains xsl:result-document	2
contains xsl:result-document elements	2
add-ons add-ons addons	2
offers various default	2
various default add-ons	2
installed to provide	2
functionality to some	2
some additional community	2
additional community submissions	2
supported or endorsed	2
default add-ons follow	2
select the add-on	2
version 25 publishing	2
25 publishing template	2
content text editing	2
content xml documentstext	2
text mode rectangular	2
mode rectangular selection	2
rectangular selection feature	2 *
standard continuous selection	2
select a rectangular	2
rectangular selection shortcuts	2 *
copy cut paste	2
delete or edit	2
mouse click mouse	2
in-place editing mode	2 *
shift alt left/right	2
alt left/right arrow	2
keys shift option	2
option meta left/right	2
meta left/right arrow	2
mouse to extend	2
extend the selection	2
arrow keys ctrl	2
keys ctrl shift	2
home on macos	2
current line shift	2
line shift alt	2
end on macos	2
pageup on macos	2
screen page shift	2
pagedown on macos	2
extends it down	2
down one screen	2
openid connect authentication	2 *
connect to configure	2
configure the web	2
edit the shiro.ini	2
shiro.ini file located	2
type of distribution	2
distribution war distribution	2
war distribution web-inf/shiro.ini	2
distribution web-inf/shiro.ini windows/linux/all	2
web-inf/shiro.ini windows/linux/all platforms	2
windows/linux/all platforms tomcat/webapps/oxygen-xml-web-author/web-inf/shiro.ini	2
platforms tomcat/webapps/oxygen-xml-web-author/web-inf/shiro.ini disable	2
default user password	2
user password authentication	2
password authentication configuration	2
deleting the lines	2
lines between start	2
config and end	2
auth config start	2
config start user-password	2
auth config usersfilerealm	2
config usersfilerealm ro.sync.adminauth.userpassword.userpasswordadminrealm	2
usersfilerealm ro.sync.adminauth.userpassword.userpasswordadminrealm passwordmatcher	2
ro.sync.adminauth.userpassword.userpasswordadminrealm passwordmatcher org.apache.shiro.authc.credential.passwordmatcher	2
passwordmatcher org.apache.shiro.authc.credential.passwordmatcher passwordservice	2
org.apache.shiro.authc.credential.passwordmatcher passwordservice ro.sync.adminauth.userpassword.plainandhashedpasswordservice	2
passwordservice ro.sync.adminauth.userpassword.plainandhashedpasswordservice hashformatfactory	2
ro.sync.adminauth.userpassword.plainandhashedpasswordservice hashformatfactory ro.sync.adminauth.userpassword.plainhashformatfactory	2
hashformatfactory ro.sync.adminauth.userpassword.plainhashformatfactory passwordservice.hashformatfactory	2
ro.sync.adminauth.userpassword.plainhashformatfactory passwordservice.hashformatfactory hashformatfactory	2
passwordservice.hashformatfactory hashformatfactory passwordmatcher.passwordservice	2
hashformatfactory passwordmatcher.passwordservice passwordservice	2
passwordmatcher.passwordservice passwordservice usersfilerealm.credentialsmatcher	2
passwordservice usersfilerealm.credentialsmatcher passwordmatcher	2
usersfilerealm.credentialsmatcher passwordmatcher securitymanager.realms	2
passwordmatcher securitymanager.realms usersfilerealm	2
securitymanager.realms usersfilerealm authc	2
usersfilerealm authc ro.sync.adminauth.userpassword.userpasswordformauthfilter	2
admin-login end user-password	2
auth config uncomment	2
deleting leading characters	2
oidc admin auth	2
auth config configure	2
embedded license server	2
authentication the admin	2
support to generate	2
1.0 and xml	2
xml schema use	2
mode the action	2
generating the files	2
run the tool	2
output folder path	2
prefix and extension	2
number of xml	2
open first instance	2
instance in editor	2
generate the content	2
content of attributes	2
tab the advanced	2
perform the sorting	2
sorting mechanism works	2
projectproject explorer view.step	2
explorer view.step result	2
project root folder.step	2
root folder.step result	2
match only top	2
top level tables	2
level tables i.e	2
tables i.e tables	2
tables that contains	2
contains some footnotes	2
some footnotes xsl:template	2
topic/table not(ancestor::*[contains(@class topic/table	2
not(ancestor::*[contains(@class topic/table contains(@class	2
topic/table contains(@class topic/fn	2
xsl:next-match xsl:with-param name="top-level-table	2
tunnel="yes xsl:next-match create	2
create a list	2
outputclass="table-fn-container xsl:for-each select=".//*[contains(@class	2
xsl:for-each select=".//*[contains(@class topic/fn	2
select=".//*[contains(@class topic/fn try	2
try to preserve	2
preserve the footnote	2
id="{if(@id then id	2
id else generate-id	2
xsl:variable name="unique-id select="generate-id($top-level-table	2
sup xsl:value-of select="$fn-id	2
xsl:value-of select="$fn-id sup	2
xsl:text xsl:text xsl:apply-templates	2
xsl:template match="*[contains(@class topic/fn	2
xsl:variable name="fn-id select	2
topic/fn not(ancestor::*[contains(@class topic/entry	2
not(ancestor::*[contains(@class topic/entry xsl:variable	2
topic/entry xsl:variable name="callout	2
xsl:variable name="callout select="@callout	2
name="callout select="@callout xsl:variable	2
select="@callout xsl:variable name="converged-callout	2
xsl:variable name="converged-callout select	2
select if string-length($callout	2
0 then callout	2
callout else fn-id	2
xrefs to footnotes	2
ids inside table-cells	2
recalculate their indexes	2
ancestor::*[contains(@class topic/entry xsl:param	2
topic/entry xsl:param name="top-level-table	2
xsl:otherwise xsl:choose xsl:variable	2
xsl:variable name="fn select	2
name="fn select top-level-table//*[contains(@class	2
select top-level-table//*[contains(@class topic/fn')][@id	2
top-level-table//*[contains(@class topic/fn')][@id destination	2
topic/fn')][@id destination xsl:choose	2
destination xsl:choose xsl:when	2
xsl:choose xsl:when test="$fn	2
table recalculate index	2
recalculate index xsl:variable	2
index-of($top-level-table//*[contains(@class topic/fn fn	2
table keep original	2
keep original index	2
original index xsl:next-match	2
index xsl:next-match xsl:otherwise	2
footnotes from tables	2
xsl:text xsl:text xsl:otherwise	2
xsl:text xsl:otherwise xsl:choose	2
div xsl:if xsl:template	2
xsl:if xsl:template xsl:stylesheet	2
xslt extension point.<publishing-template	2
extension point.<publishing-template webhelp	2
point.<publishing-template webhelp xslt	2
xslt that calls	2
calls java extensions	2
xslt with java	2
java extensions follow	2
xslt document select	2
document select configure	2
select configure transformation	2
java extensions jar	2
extensions jar libraries	2
ok then select	2
configured and saved	2
view the text	2
contains a tab	2
view text view	2
removes all content	2
support in includes	2
identifies the modules	2
file is transformed	2
current module determines	2
determines the scope	2
performs the search	2
main files determine	2
improving the speed	2
speed of execution	2
documents with xpath	2
dedicated xpath builder	2
compose more complex	2
provides a dedicated	2
offers content completion	2
expressions xpath toolbar	2
implicit html elements	2
html elements i.e	2
elements i.e html	2
i.e html body	2
html body tbody	2
developing a plugin	2
edit javascript files	2
files are located	2
json document directly	2
new transformation scenariocreate	2
scenariocreate a new	2
scenario using one	2
json this scenario	2
final form configure	2
scenario to suit	2
json url field	2
url field run	2
transformation transforming multiple	2
transforming multiple json	2
transform multiple json	2
processing to achieve	2
achieve this select	2
right-click and apply	2
apply or configure	2
transformation scenario transforming	2
stylesheet for json	2
processes a json	2
function and matches	2
transform using one	2
add a parameter	2
value for example	2
built-in templates mentioned	2
parameter is added	2
transform a json	2
customize the term	2
autocorrect feature follow	2
create a patch	2
patch file called	2
file called en_patch.xml	2
en_patch.xml with content	2
content like this:<?xml	2
version="1.0 encoding="utf-8 replacements	2
encoding="utf-8 replacements deletion	2
replacements deletion match="i	2
deletion match="i substitution="i	2
some built-in frameworks	2
built-in frameworks include	2
include a configuration	2
defines shortcut patterns	2
structure more specifically	2
specifically the xml	2
xml structure fragment	2
structure fragment automatically	2
fragment automatically replaces	2
replaces a specific	2
specific prefix pattern	2
dita framework entering	2
paragraph would automatically	2
particular configuration file	2
configuration file structureautocorrect.xml	2
structureautocorrect.xml to define	2
markup insertion shortcut	2
insertion shortcut patterns	2
events framework customizationextensionsauthor	2
action event handler	2
handle certain author	2
way for example	2
insert new lines	2
opening the content	2
cursor position public	2
appear when running	2
running the application	2
user the xpath	2
4 list items	2
offers a quick	2
determine the table	2
example the table	2
recognized by default	2
taking as argument	2
ro.sync.ecss.extensions.api.node.authorelement that represents	2
collect the span	2
information by analyzing	2
analyzing the table	2
true the method	2
tablecellstagname return td".equals(tablecellstagname	2
display:table-cell the implementation	2
implementation is simple	2
parses the value	2
string tablecellstagname throws	2
tablecellstagname throws authoroperationexception	2
authoroperationexception if td".equals(tablecellstagname	2
return true public	2
true public boolean	2
header td>c1</td td>c2</td	2
td>c1</td td>c2</td td>c3</td	2
td>c2</td td>c3</td td>c4</td	2
td>c3</td td>c4</td header	2
td>c4</td header tr	2
header tr td>cs=1	2
td>cs=1 rs=1</td td>cs=1	2
rs=1</td td>cs=1 rs=1</td	2
td>cs=1 rs=1</td td	2
rs=2</td td row_span="3">cs=1	2
td row_span="3">cs=1 rs=3</td	2
row_span="3">cs=1 rs=3</td tr	2
rs=3</td tr tr	2
tr tr td>cs=1	2
td>cs=1 rs=1</td tr	2
rs=1</td tr tr	2
tr tr td	2
tr td column_span="3">cs=3	2
td column_span="3">cs=3 rs=1</td	2
column_span="3">cs=3 rs=1</td tr	2
rs=1</td tr table	2
layout table layout	2
configured the table	2
add syntax highlights	2
ability to add	2
values the content	2
select the codeblock	2
editor and use	2
open the in-place	2
page preface-page background-color:silver	2
particular editor tab	2
close other filesclose	2
others if multiple	2
close all opened	2
menu it closes	2
groups/stacks of tabs	2
viewing file properties	2 *
propertieseditor properties view	2
properties view displays	2
document the information	2
completion and document	2
document type name	2
show view properties	2
soft srl provides	2
provides a limited	2
server installation system	2
linux installer follow	2
download the linux	2
linux installer optional	2
installation program.for example	2
program.for example open	2
open a shell	2
prompt type sh	2
use the oxygenauthordeveloperjsoneditorsyncrosvnclient	2
oxygenauthordeveloperjsoneditorsyncrosvnclient shortcut created	2
